,CUSTOMER_ID,weighted_average,back_probability,percentage
1363,486408,3.75,good,100.0
6493,1669893,2.0714285714285716,good,79.65367965367966
1658,575928,1.1333333333333333,good,68.28282828282828
2990,1025170,1.0666666666666667,good,67.47474747474747
4220,1375800,1.0467836257309941,good,67.23374091795144
6381,1658897,1.0,good,66.66666666666666
6419,1661644,1.0,good,66.66666666666666
6407,1660746,1.0,good,66.66666666666666
6405,1660678,1.0,good,66.66666666666666
6401,1660548,1.0,good,66.66666666666666
6400,1660517,1.0,good,66.66666666666666
6393,1660081,1.0,good,66.66666666666666
6389,1659900,1.0,good,66.66666666666666
6386,1659696,1.0,good,66.66666666666666
6376,1658743,1.0,good,66.66666666666666
6379,1658798,1.0,good,66.66666666666666
6427,1662542,1.0,good,66.66666666666666
6375,1658705,1.0,good,66.66666666666666
6373,1658644,1.0,good,66.66666666666666
6371,1658606,1.0,good,66.66666666666666
6368,1658330,1.0,good,66.66666666666666
6362,1658088,1.0,good,66.66666666666666
6361,1658064,1.0,good,66.66666666666666
6356,1657692,1.0,good,66.66666666666666
6355,1657630,1.0,good,66.66666666666666
6353,1657357,1.0,good,66.66666666666666
6423,1662306,1.0,good,66.66666666666666
0,1250,1.0,good,66.66666666666666
6435,1663549,1.0,good,66.66666666666666
6348,1656879,1.0,good,66.66666666666666
6494,1669916,1.0,good,66.66666666666666
6490,1669671,1.0,good,66.66666666666666
6487,1669480,1.0,good,66.66666666666666
6486,1669466,1.0,good,66.66666666666666
6485,1669428,1.0,good,66.66666666666666
6483,1669251,1.0,good,66.66666666666666
6480,1669008,1.0,good,66.66666666666666
6474,1668452,1.0,good,66.66666666666666
6472,1668223,1.0,good,66.66666666666666
6470,1668162,1.0,good,66.66666666666666
6468,1667943,1.0,good,66.66666666666666
6466,1667837,1.0,good,66.66666666666666
6461,1666878,1.0,good,66.66666666666666
6460,1666588,1.0,good,66.66666666666666
6454,1665765,1.0,good,66.66666666666666
6453,1665741,1.0,good,66.66666666666666
6452,1665710,1.0,good,66.66666666666666
6451,1665598,1.0,good,66.66666666666666
6444,1664997,1.0,good,66.66666666666666
6441,1664287,1.0,good,66.66666666666666
6439,1664218,1.0,good,66.66666666666666
6351,1657166,1.0,good,66.66666666666666
6346,1656503,1.0,good,66.66666666666666
6497,1669992,1.0,good,66.66666666666666
6229,1644821,1.0,good,66.66666666666666
6277,1650013,1.0,good,66.66666666666666
6265,1649079,1.0,good,66.66666666666666
6262,1648683,1.0,good,66.66666666666666
6258,1648157,1.0,good,66.66666666666666
6254,1647822,1.0,good,66.66666666666666
6248,1647174,1.0,good,66.66666666666666
6245,1646825,1.0,good,66.66666666666666
6240,1646009,1.0,good,66.66666666666666
6237,1645682,1.0,good,66.66666666666666
6235,1645323,1.0,good,66.66666666666666
6220,1644135,1.0,good,66.66666666666666
6345,1656442,1.0,good,66.66666666666666
6219,1644111,1.0,good,66.66666666666666
6218,1644104,1.0,good,66.66666666666666
6217,1643978,1.0,good,66.66666666666666
6216,1643954,1.0,good,66.66666666666666
6213,1643381,1.0,good,66.66666666666666
6212,1643282,1.0,good,66.66666666666666
6211,1643220,1.0,good,66.66666666666666
6209,1643107,1.0,good,66.66666666666666
6207,1642841,1.0,good,66.66666666666666
6203,1642322,1.0,good,66.66666666666666
6280,1650105,1.0,good,66.66666666666666
6282,1650273,1.0,good,66.66666666666666
6283,1650426,1.0,good,66.66666666666666
6285,1650471,1.0,good,66.66666666666666
6338,1655896,1.0,good,66.66666666666666
6334,1655629,1.0,good,66.66666666666666
6330,1655193,1.0,good,66.66666666666666
6329,1655117,1.0,good,66.66666666666666
6325,1654851,1.0,good,66.66666666666666
6323,1654585,1.0,good,66.66666666666666
6321,1654424,1.0,good,66.66666666666666
6320,1654264,1.0,good,66.66666666666666
6316,1653960,1.0,good,66.66666666666666
6313,1653915,1.0,good,66.66666666666666
6312,1653427,1.0,good,66.66666666666666
6304,1652420,1.0,good,66.66666666666666
6303,1652147,1.0,good,66.66666666666666
6301,1652109,1.0,good,66.66666666666666
6300,1651942,1.0,good,66.66666666666666
6297,1651812,1.0,good,66.66666666666666
6296,1651584,1.0,good,66.66666666666666
6295,1651522,1.0,good,66.66666666666666
6294,1651508,1.0,good,66.66666666666666
6293,1651331,1.0,good,66.66666666666666
6289,1650846,1.0,good,66.66666666666666
6495,1669978,1.0,good,66.66666666666666
6500,1670257,1.0,good,66.66666666666666
6195,1641424,1.0,good,66.66666666666666
6669,1685039,1.0,good,66.66666666666666
6693,1687569,1.0,good,66.66666666666666
6691,1687446,1.0,good,66.66666666666666
6690,1687293,1.0,good,66.66666666666666
6689,1687279,1.0,good,66.66666666666666
6688,1687231,1.0,good,66.66666666666666
6683,1686562,1.0,good,66.66666666666666
6681,1686470,1.0,good,66.66666666666666
6678,1686210,1.0,good,66.66666666666666
6671,1685305,1.0,good,66.66666666666666
6670,1685268,1.0,good,66.66666666666666
6665,1684759,1.0,good,66.66666666666666
6703,1688207,1.0,good,66.66666666666666
6662,1684506,1.0,good,66.66666666666666
6661,1684476,1.0,good,66.66666666666666
6660,1684421,1.0,good,66.66666666666666
6659,1684339,1.0,good,66.66666666666666
6653,1683974,1.0,good,66.66666666666666
6650,1683660,1.0,good,66.66666666666666
6649,1683639,1.0,good,66.66666666666666
6648,1683370,1.0,good,66.66666666666666
6642,1682953,1.0,good,66.66666666666666
6641,1682939,1.0,good,66.66666666666666
6698,1688030,1.0,good,66.66666666666666
6707,1688375,1.0,good,66.66666666666666
6501,1670387,1.0,good,66.66666666666666
6741,1691351,1.0,good,66.66666666666666
6772,1693393,1.0,good,66.66666666666666
6771,1693287,1.0,good,66.66666666666666
6769,1693157,1.0,good,66.66666666666666
6767,1693089,1.0,good,66.66666666666666
6766,1692983,1.0,good,66.66666666666666
6764,1692853,1.0,good,66.66666666666666
6762,1692556,1.0,good,66.66666666666666
6761,1692549,1.0,good,66.66666666666666
6754,1691962,1.0,good,66.66666666666666
6752,1691924,1.0,good,66.66666666666666
6739,1691283,1.0,good,66.66666666666666
6708,1688429,1.0,good,66.66666666666666
6735,1691108,1.0,good,66.66666666666666
6730,1690699,1.0,good,66.66666666666666
6729,1690651,1.0,good,66.66666666666666
6727,1690606,1.0,good,66.66666666666666
6726,1690378,1.0,good,66.66666666666666
6722,1689983,1.0,good,66.66666666666666
6719,1689921,1.0,good,66.66666666666666
6718,1689785,1.0,good,66.66666666666666
6716,1688962,1.0,good,66.66666666666666
6711,1688535,1.0,good,66.66666666666666
6634,1682403,1.0,good,66.66666666666666
6633,1682199,1.0,good,66.66666666666666
6632,1682151,1.0,good,66.66666666666666
6529,1672800,1.0,good,66.66666666666666
6546,1674163,1.0,good,66.66666666666666
6541,1673807,1.0,good,66.66666666666666
6540,1673739,1.0,good,66.66666666666666
6538,1673630,1.0,good,66.66666666666666
6536,1673470,1.0,good,66.66666666666666
6535,1673425,1.0,good,66.66666666666666
6534,1673203,1.0,good,66.66666666666666
6533,1673166,1.0,good,66.66666666666666
6531,1672978,1.0,good,66.66666666666666
6530,1672916,1.0,good,66.66666666666666
6528,1672732,1.0,good,66.66666666666666
6627,1681635,1.0,good,66.66666666666666
6527,1672718,1.0,good,66.66666666666666
6525,1672473,1.0,good,66.66666666666666
6523,1672107,1.0,good,66.66666666666666
6521,1671896,1.0,good,66.66666666666666
6520,1671872,1.0,good,66.66666666666666
6516,1671551,1.0,good,66.66666666666666
6514,1671452,1.0,good,66.66666666666666
6512,1671391,1.0,good,66.66666666666666
6510,1671094,1.0,good,66.66666666666666
6509,1671087,1.0,good,66.66666666666666
6551,1674965,1.0,good,66.66666666666666
6553,1674996,1.0,good,66.66666666666666
6554,1675108,1.0,good,66.66666666666666
6561,1675580,1.0,good,66.66666666666666
6623,1681512,1.0,good,66.66666666666666
6621,1681352,1.0,good,66.66666666666666
6620,1681314,1.0,good,66.66666666666666
6616,1681086,1.0,good,66.66666666666666
6608,1680492,1.0,good,66.66666666666666
6607,1680485,1.0,good,66.66666666666666
6606,1680478,1.0,good,66.66666666666666
6605,1680409,1.0,good,66.66666666666666
6604,1680386,1.0,good,66.66666666666666
6600,1679953,1.0,good,66.66666666666666
6599,1679854,1.0,good,66.66666666666666
6597,1679717,1.0,good,66.66666666666666
6594,1679342,1.0,good,66.66666666666666
6593,1679335,1.0,good,66.66666666666666
6588,1678499,1.0,good,66.66666666666666
6587,1678291,1.0,good,66.66666666666666
6585,1678277,1.0,good,66.66666666666666
6583,1678130,1.0,good,66.66666666666666
6581,1677874,1.0,good,66.66666666666666
6569,1676389,1.0,good,66.66666666666666
6568,1676358,1.0,good,66.66666666666666
6197,1641523,1.0,good,66.66666666666666
6194,1641264,1.0,good,66.66666666666666
6776,1693706,1.0,good,66.66666666666666
5769,1605969,1.0,good,66.66666666666666
5791,1607574,1.0,good,66.66666666666666
5790,1607550,1.0,good,66.66666666666666
5789,1607536,1.0,good,66.66666666666666
5787,1607406,1.0,good,66.66666666666666
5785,1607246,1.0,good,66.66666666666666
5783,1607192,1.0,good,66.66666666666666
5779,1606911,1.0,good,66.66666666666666
5778,1606799,1.0,good,66.66666666666666
5776,1606713,1.0,good,66.66666666666666
