,CUSTOMER_ID,Date,recency,ORDER_ID,PIN_CODE,AGE_GROUP,100205,110401,110411,120103,130206,frequency,recency_cate,frequency_cate,customer
0,1250,2001-02-10,18,623618,114,35-39,1.0,0.0,0.0,0.0,0.0,6,16-31 day,0~10 freq,新顧客
1,1250,2001-02-10,18,624360,114,35-39,1.0,0.0,0.0,0.0,0.0,6,16-31 day,0~10 freq,新顧客
2,1250,2001-02-10,18,625617,114,35-39,2.0,0.0,0.0,0.0,0.0,6,16-31 day,0~10 freq,新顧客
3,1250,2001-02-10,18,626748,114,35-39,0.0,0.0,1.0,0.0,0.0,6,16-31 day,0~10 freq,新顧客
4,1250,2001-02-10,18,628013,114,35-39,2.0,0.0,0.0,0.0,0.0,6,16-31 day,0~10 freq,新顧客
5,1250,2001-02-10,18,628844,114,35-39,0.0,0.0,1.0,0.0,0.0,6,16-31 day,0~10 freq,新顧客
6,5241,2001-01-16,43,408292,221,35-39,0.0,0.0,1.0,0.0,0.0,5,32-46 day,0~10 freq,新顧客
7,5241,2001-01-16,43,409851,221,35-39,0.0,0.0,1.0,0.0,0.0,5,32-46 day,0~10 freq,新顧客
8,5241,2001-01-16,43,450125,221,35-39,0.0,0.0,2.0,0.0,0.0,5,32-46 day,0~10 freq,新顧客
9,5241,2001-01-16,43,450970,221,35-39,0.0,0.0,2.0,0.0,0.0,5,32-46 day,0~10 freq,新顧客
10,5517,2000-12-23,67,365427,115,50-54,0.0,0.0,0.0,1.0,0.0,5,>66 day,0~10 freq,流失客
11,5517,2000-12-23,67,367444,115,50-54,0.0,0.0,1.0,0.0,0.0,5,>66 day,0~10 freq,流失客
12,5517,2000-12-23,67,367473,115,50-54,0.0,0.0,1.0,0.0,0.0,5,>66 day,0~10 freq,流失客
13,6378,2001-02-14,14,721247,110,35-39,1.0,0.0,0.0,0.0,0.0,1,0-14 day,0~10 freq,新顧客
14,6668,2001-01-06,53,461147,115,35-39,0.0,0.0,2.0,0.0,0.0,6,52- 66day,0~10 freq,流失客
15,6989,2001-02-11,17,627756,105,45-49,0.0,0.0,0.0,0.0,1.0,1,16-31 day,0~10 freq,新顧客
16,9218,2001-01-12,47,438582,221,40-44,0.0,0.0,0.0,2.0,0.0,5,47-51 day,0~10 freq,流失客
17,9218,2001-01-12,47,440132,221,40-44,0.0,0.0,0.0,1.0,0.0,5,47-51 day,0~10 freq,流失客
18,9218,2001-01-12,47,440140,221,40-44,0.0,0.0,0.0,1.0,0.0,5,47-51 day,0~10 freq,流失客
19,9218,2001-01-12,47,441262,221,40-44,0.0,0.0,0.0,1.0,0.0,5,47-51 day,0~10 freq,流失客
20,9218,2001-01-12,47,442553,221,40-44,0.0,0.0,0.0,1.0,0.0,5,47-51 day,0~10 freq,流失客
21,10801,2001-02-12,16,671440,115,35-39,0.0,0.0,1.0,0.0,0.0,5,16-31 day,0~10 freq,新顧客
22,11853,2000-12-01,89,315656,221,30-34,1.0,0.0,0.0,0.0,0.0,1,>66 day,0~10 freq,流失客
23,13697,2001-02-17,11,726740,106,50-54,0.0,0.0,1.0,0.0,0.0,4,0-14 day,0~10 freq,新顧客
24,13697,2001-02-17,11,734426,106,50-54,0.0,0.0,1.0,0.0,0.0,4,0-14 day,0~10 freq,新顧客
25,13697,2001-02-17,11,735948,106,50-54,0.0,0.0,1.0,0.0,0.0,4,0-14 day,0~10 freq,新顧客
26,13697,2001-02-17,11,736783,106,50-54,0.0,0.0,2.0,0.0,0.0,4,0-14 day,0~10 freq,新顧客
27,15424,2001-01-18,41,500432,221,35-39,0.0,0.0,4.0,0.0,0.0,2,32-46 day,0~10 freq,新顧客
28,15424,2001-01-18,41,500838,221,35-39,0.0,0.0,1.0,0.0,0.0,2,32-46 day,0~10 freq,新顧客
29,16803,2000-11-05,115,25381,221,35-39,1.0,0.0,0.0,0.0,0.0,1,>66 day,0~10 freq,流失客
30,18173,2001-02-20,8,757590,221,25-29,1.0,0.0,0.0,0.0,0.0,14,0-14 day,11~20 freq,新顧客
31,18173,2001-02-20,8,758000,221,25-29,0.0,1.0,0.0,0.0,0.0,14,0-14 day,11~20 freq,新顧客
32,18524,2000-12-20,70,365386,115,35-39,1.0,0.0,0.0,0.0,0.0,7,>66 day,0~10 freq,流失客
33,19200,2000-12-24,66,359318,Unknown,55-59,3.0,0.0,0.0,0.0,0.0,1,52- 66day,0~10 freq,流失客
34,19484,2000-12-22,68,362194,Others,40-44,0.0,0.0,2.0,0.0,0.0,4,>66 day,0~10 freq,流失客
35,19484,2000-12-22,68,363018,Others,40-44,0.0,0.0,2.0,0.0,0.0,4,>66 day,0~10 freq,流失客
36,19484,2000-12-22,68,364242,Others,40-44,0.0,0.0,2.0,0.0,0.0,4,>66 day,0~10 freq,流失客
37,19484,2000-12-22,68,366287,Others,40-44,0.0,0.0,2.0,0.0,0.0,4,>66 day,0~10 freq,流失客
38,19545,2000-11-19,101,132501,Unknown,50-54,0.0,0.0,0.0,0.0,1.0,2,>66 day,0~10 freq,流失客
39,19545,2000-11-19,101,132604,Unknown,50-54,0.0,0.0,0.0,0.0,1.0,2,>66 day,0~10 freq,流失客
40,19873,2001-02-20,8,758674,115,35-39,0.0,1.0,0.0,0.0,0.0,6,0-14 day,0~10 freq,新顧客
41,19897,2001-01-13,46,420933,115,40-44,0.0,0.0,3.0,0.0,0.0,2,32-46 day,0~10 freq,新顧客
42,19903,2001-02-06,22,664086,115,40-44,0.0,0.0,2.0,0.0,0.0,4,16-31 day,0~10 freq,新顧客
43,20077,2001-02-20,8,762208,Unknown,40-44,0.0,0.0,0.0,0.0,1.0,1,0-14 day,0~10 freq,新顧客
44,20220,2001-02-24,4,785133,221,40-44,0.0,0.0,2.0,0.0,0.0,19,0-14 day,11~20 freq,新顧客
45,20459,2001-02-25,3,789610,114,40-44,0.0,0.0,1.0,0.0,0.0,107,0-14 day,>50 freq,常貴客
46,20596,2001-01-27,32,586222,221,25-29,0.0,1.0,0.0,0.0,0.0,7,32-46 day,0~10 freq,新顧客
47,20695,2001-02-06,22,673333,221,35-39,0.0,0.0,2.0,0.0,0.0,8,16-31 day,0~10 freq,新顧客
48,20794,2001-02-25,3,793985,115,40-44,0.0,1.0,0.0,0.0,0.0,14,0-14 day,11~20 freq,新顧客
49,20800,2001-02-20,8,755344,115,35-39,1.0,0.0,0.0,0.0,0.0,4,0-14 day,0~10 freq,新顧客
