,商品組合,支持度
0,"frozenset({100205, 100102})",0.016533141547776346
1,"frozenset({100201, 100205})",0.01992005218351202
2,"frozenset({100312, 100205})",0.025305658231447255
3,"frozenset({100323, 100205})",0.010829751292043686
4,"frozenset({100505, 100205})",0.013213132850524344
5,"frozenset({100507, 100205})",0.010177457391827929
6,"frozenset({110117, 100205})",0.010177457391827929
7,"frozenset({110217, 100205})",0.012594289919550418
8,"frozenset({110401, 100205})",0.018966699560119756
9,"frozenset({110411, 100205})",0.013254946562076635
10,"frozenset({130204, 100205})",0.014434093227851276
11,"frozenset({100205, 130206})",0.015621602635936377
12,"frozenset({500201, 100205})",0.014484269681714028
13,"frozenset({100205, 530101})",0.010997006138252855
14,"frozenset({110217, 110117})",0.010026928030239676
15,"frozenset({500201, 110117})",0.01001020254561876
16,"frozenset({110217, 130315})",0.010846476776664603
17,"frozenset({110217, 500201})",0.011264613892187527
18,"frozenset({110401, 110411})",0.010905015972837813
19,"frozenset({110401, 500201})",0.011122447272909732
20,"frozenset({130106, 130315})",0.011030457107494689
21,"frozenset({130204, 130206})",0.019351385706400843
22,"frozenset({130315, 130204})",0.01296225058121059
23,"frozenset({130315, 130206})",0.011548947130743113
24,"frozenset({500201, 500203})",0.011206074696014317
25,"frozenset({500201, 500210})",0.014066132566191105
26,"frozenset({500201, 530101})",0.013054240746625633
27,"frozenset({500201, 530105})",0.011080633561357441
28,"frozenset({500201, 530110})",0.010888290488216896
29,"frozenset({530101, 530103})",0.011373329542223486
30,"frozenset({560201, 560402})",0.011707839234641824
